aa_	aa	Banana bunchy top virus :Banana bunchy top virus:ssDNA(+)::GCF_000847305.1
gastropoda_	gastropoda	Wenzhou picorna-like virus 53 :Wenzhou picorna-like virus 53:RNA:Gastropoda:GCF_001957815.1
gastropoda_	gastropoda	Wenzhou picorna-like virus 5 :Wenzhou picorna-like virus 5:RNA:Gastropoda:GCF_001959615.1
gastropoda_	gastropoda	Wenzhou qinvirus-like virus 1 :Yingvirus wenzhouense:ssRNA(-):Gastropoda:GCF_001959575.1
gastropoda_	gastropoda	Wenzhou tombus-like virus 9 :Wenzhou tombus-like virus 9:RNA:Gastropoda:GCF_001970345.1
gazania_	gazania	Tomato yellow ring virus :Orthotospovirus tomatanuli:ssRNA(+/-):Solanum lycopersicum:GCF_013086795.1
gazella_arabica	gazella arabica	Foot-and-mouth disease virus O :Foot-and-mouth disease virus:ssRNA(+)::GCF_002816555.1
gazella_dorcas	gazella dorcas	Foot-and-mouth disease virus O :Foot-and-mouth disease virus:ssRNA(+)::GCF_002816555.1
gazella_dorcas	gazella dorcas	Peste des petits ruminants virus :Morbillivirus caprinae:ssRNA(-):Ovis aries:GCF_000866445.1
gazella_	gazella	Equid alphaherpesvirus 1 :Varicellovirus equidalpha1:dsDNA:Equus caballus:GCF_000844025.1
gazella_	gazella	Foot-and-mouth disease virus O :Foot-and-mouth disease virus:ssRNA(+)::GCF_002816555.1
gazella_subgutturosa	gazella subgutturosa marica	Foot-and-mouth disease virus O :Foot-and-mouth disease virus:ssRNA(+)::GCF_002816555.1
gazella_subgutturosa	gazella subgutturosa	Peste des petits ruminants virus :Morbillivirus caprinae:ssRNA(-):Ovis aries:GCF_000866445.1
gekko_similignum	gekko similignum	rafivirus B1 :Rafivirus B:ssRNA(+):Gekko similignum:GCF_004789095.1
genetta_genetta	genetta genetta	Lyssavirus rabies :Lyssavirus rabies:ssRNA(-)::GCF_000859625.1
genetta_	genetta	Lyssavirus rabies :Lyssavirus rabies:ssRNA(-)::GCF_000859625.1
gentiana_	gentiana	Bean yellow mosaic virus :Bean yellow mosaic virus:ssRNA(+)::GCF_000863145.1
gentiana_	gentiana	Broad bean wilt virus 2 :Fabavirus betaviciae:ssRNA(+)::GCF_000861605.1
gentiana_	gentiana	Gentian mosaic virus :Fabavirus gentianae:ssRNA(+)::GCF_002867125.1
gentiana_	gentiana	Impatiens necrotic spot virus :Orthotospovirus impatiensnecromaculae:ssRNA(+/-)::GCF_000852025.1
gentiana_macrophylla	gentiana macrophylla	Impatiens necrotic spot virus :Orthotospovirus impatiensnecromaculae:ssRNA(+/-)::GCF_000852025.1
gentiana_scabra	gentiana scabra	Broad bean wilt virus 2 :Fabavirus betaviciae:ssRNA(+)::GCF_000861605.1
gentiana_scabra	gentiana scabra	Cucumber mosaic virus :Cucumber mosaic virus:ssRNA(+)::GCF_000864745.1
gentiana_scabra	gentiana scabra	Gentian Kobu-sho-associated virus :Gentian Kobu-sho-associated virus:dsRNA:Gentiana triflora:GCF_000906635.1
gentiana_scabra	gentiana scabra	Impatiens necrotic spot virus :Orthotospovirus impatiensnecromaculae:ssRNA(+/-)::GCF_000852025.1
gentiana_scabra	gentiana scabra x gentiana triflora	Gentian Kobu-sho-associated virus :Gentian Kobu-sho-associated virus:dsRNA:Gentiana triflora:GCF_000906635.1
gentiana_sp	gentiana sp.	Gentian Kobu-sho-associated virus :Gentian Kobu-sho-associated virus:dsRNA:Gentiana triflora:GCF_000906635.1
gentiana_triflora	gentiana triflora	Broad bean wilt virus 2 :Fabavirus betaviciae:ssRNA(+)::GCF_000861605.1
gentiana_triflora	gentiana triflora	Gentian Kobu-sho-associated virus :Gentian Kobu-sho-associated virus:dsRNA:Gentiana triflora:GCF_000906635.1
gentiana_triflora	gentiana triflora	Gentian ovary ringspot virus :Gentian ovary ringspot virus:ssRNA(+):Gentiana triflora:GCF_000921435.1
geobacillus_	geobacillus	Geobacillus virus E2 :Geobacillus virus E2:dsDNA:Geobacillus:GCF_000870845.2
geodorum_	geodorum	Odontoglossum ringspot virus :Odontoglossum ringspot virus:ssRNA(+)::GCF_000859905.1
geopelia_placida	geopelia placida	Beak and feather disease virus :Circovirus parrot:ssDNA(+/-)::GCF_000843965.1
geopelia_placida	geopelia placida	Influenza A virus (A/goose/Guangdong/1/1996(H5N1)) :Alphainfluenzavirus influenzae:ssRNA(-):Anatidae:GCF_000864105.1
geophagus_brasiliensis	geophagus brasiliensis	Infectious spleen and kidney necrosis virus :Infectious spleen and kidney necrosis virus:dsDNA::GCF_000848865.1
geopora_sumneriana	geopora sumneriana	Geopora sumneriana mitovirus 1 :Triamitovirus gesu1:ssRNA(+):Geopora sumneriana:GCF_023131235.1
geospiza_	geospiza	Canarypox virus :Canarypox virus:dsDNA::GCF_000841685.1
geothlypis_trichas	geothlypis trichas	Eastern equine encephalitis virus :Eastern equine encephalitis virus:ssRNA(+)::GCF_000862705.1
geotrygon_montana	geotrygon montana	Gamboa virus :Orthobunyavirus gamboaense:ssRNA(-):Aedeomyia squamipennis:GCF_002831325.1
geotrygon_montana	geotrygon montana	Saint Louis encephalitis virus :Orthoflavivirus louisense:ssRNA(+)::GCF_000866785.1
geranium_carolinianum	geranium carolinianum	Cotton leafroll dwarf virus :Cotton leafroll dwarf virus:ssRNA(+):Gossypium hirsutum:GCF_000890175.1
geranium_dissectum	geranium dissectum	Barley yellow dwarf virus MAV :Luteovirus mavhordei:ssRNA(+)::GCF_000850645.1
geranium_dissectum	geranium dissectum	Barley yellow dwarf virus PAV :Luteovirus pavhordei:ssRNA(+)::GCF_000859045.1
geranium_	geranium	Cucumber mosaic virus :Cucumber mosaic virus:ssRNA(+)::GCF_000864745.1
geranium_	geranium	Eggplant mottled crinkle virus :Tombusvirus melongenae:ssRNA(+):Solanum melongena:GCF_000916815.1
geranium_	geranium	Orthotospovirus tomatomaculae :Orthotospovirus tomatomaculae:ssRNA(+/-)::GCF_000854725.1
geranium_rotundifolium	geranium rotundifolium	Turnip yellows virus :Turnip yellows virus:ssRNA(+)::GCF_000855905.1
geranium_sp	geranium sp.	Plantago asiatica mosaic virus :Plantago asiatica mosaic virus:ssRNA(+)::GCF_000856745.1
geranium_thunbergii	geranium thunbergii	Tobacco mosaic virus :Tobacco mosaic virus:ssRNA(+)::GCF_000854365.1
gerbera_	gerbera	Cucumber mosaic virus :Cucumber mosaic virus:ssRNA(+)::GCF_000864745.1
gerbera_	gerbera	Orthotospovirus tomatomaculae :Orthotospovirus tomatomaculae:ssRNA(+/-)::GCF_000854725.1
gerbera_hybrid	gerbera hybrid cultivar	Orthotospovirus tomatomaculae :Orthotospovirus tomatomaculae:ssRNA(+/-)::GCF_000854725.1
gerbera_jamesonii	gerbera jamesonii	Cucumber mosaic virus :Cucumber mosaic virus:ssRNA(+)::GCF_000864745.1
gerbera_jamesonii	gerbera jamesonii	Impatiens necrotic spot virus :Orthotospovirus impatiensnecromaculae:ssRNA(+/-)::GCF_000852025.1
gerbera_jamesonii	gerbera jamesonii	Orthotospovirus tomatomaculae :Orthotospovirus tomatomaculae:ssRNA(+/-)::GCF_000854725.1
gerbillinae_	gerbillinae	Taterapox virus :Taterapox virus:dsDNA::GCF_000869985.1
gerbilliscus_kempi	gerbilliscus kempi	Keuraliba virus :Ledantevirus keuraliba:ssRNA(-):Gerbilliscus kempi:GCF_002146245.1
gerbilliscus_kempi	gerbilliscus kempi	Taterapox virus :Taterapox virus:dsDNA::GCF_000869985.1
gerbilliscus_leucogaster	gerbilliscus leucogaster	Rodent paramyxovirus :Jeilongvirus apodemi:ssRNA(-):Apodemus peninsulae:GCF_023120395.1
gerridae_	gerridae	Hubei arthropod virus 1 :Hubei arthropod virus 1:RNA:Arthropoda:GCF_001966655.1
gerridae_	gerridae	Sanxia permutotetra-like virus 1 :Sanxia permutotetra-like virus 1:RNA:Gerridae:GCF_001961215.1
gerridae_	gerridae	Sanxia sobemo-like virus 1 :Sanxia sobemo-like virus 1:RNA:Gerridae:GCF_001962835.1
gerridae_	gerridae	Sanxia sobemo-like virus 2 :Sanxia sobemo-like virus 2:RNA:Gerridae:GCF_001961155.1
gerridae_	gerridae	Sanxia sobemo-like virus 3 :Sanxia sobemo-like virus 3:RNA:Gerridae:GCF_001959515.1
gerridae_	gerridae	Sanxia sobemo-like virus 4 :Sanxia sobemo-like virus 4:RNA:Gerridae:GCF_001961015.1
gerridae_	gerridae	Sanxia sobemo-like virus 5 :Sanxia sobemo-like virus 5:RNA:Gerridae:GCF_001962815.1
gerridae_	gerridae	Sanxia tombus-like virus 5 :Sanxia tombus-like virus 5:RNA:Gerridae:GCF_001958735.1
gerridae_	gerridae	Sanxia tombus-like virus 6 :Sanxia tombus-like virus 6:RNA:Gerridae:GCF_001959475.1
gerridae_	gerridae	Sanxia tombus-like virus 7 :Sanxia tombus-like virus 7:RNA:Gerridae:GCF_001927215.1
gerridae_	gerridae	Sanxia tombus-like virus 8 :Sanxia tombus-like virus 8:RNA:Gerridae:GCF_001960975.1
gerridae_	gerridae	Sanxia water strider virus 10 :Sanxia water strider virus 10:RNA:Gerridae:GCF_001958715.1
gerridae_	gerridae	Sanxia water strider virus 13 :Sanxia water strider virus 13:RNA:Gerridae:GCF_001959455.1
gerridae_	gerridae	Sanxia water strider virus 14 :Sanxia water strider virus 14:RNA:Gerridae:GCF_001960955.1
gerridae_	gerridae	Sanxia water strider virus 15 :Sanxia water strider virus 15:RNA:Gerridae:GCF_001926375.1
gerridae_	gerridae	Sanxia water strider virus 16 :Sanxia water strider virus 16:RNA:Atyidae:GCF_001962755.1
gerridae_	gerridae	Sanxia water strider virus 17 :Sanxia water strider virus 17:RNA:Gerridae:GCF_001958695.1
gerridae_	gerridae	Sanxia water strider virus 19 :Sanxia water strider virus 19:RNA:Gerridae:GCF_001959435.1
gerridae_	gerridae	Sanxia Water Strider Virus 1 :Striwavirus sanxiaense:ssRNA(-):Gerridae:GCF_001746075.1
gerridae_	gerridae	Sanxia water strider virus 20 :Sanxia water strider virus 20:RNA:Gerridae:GCF_001960935.1
gerridae_	gerridae	Sanxia water strider virus 21 :Sanxia water strider virus 21:RNA:Gerridae:GCF_001960335.1
gerridae_	gerridae	Sanxia Water Strider Virus 2 :Sawastrivirus sanxiaense:ssRNA(-):Gerridae:GCF_004789795.1
gerridae_	gerridae	Sanxia water strider virus 4 :Sanstrivirus gerridis:ssRNA(-):Gerridae:GCF_001744755.1
gerridae_	gerridae	Sanxia Water Strider Virus 5 :Sanxia Water Strider Virus 5:ssRNA(-):Gerridae:GCF_001744075.1
gerridae_	gerridae	Sanxia water strider virus 7 :Sanxia water strider virus 7:RNA:Gerridae:GCF_001958675.1
gerridae_	gerridae	Sanxia water strider virus 8 :Sanxia water strider virus 8:RNA:Gerridae:GCF_001959415.1
gerridae_	gerridae	Sanxia water strider virus 9 :Sanxia water strider virus 9:RNA:Gerridae:GCF_001960915.1
gerridae_	gerridae	Shrimp hemocyte iridescent virus :Decapod iridescent virus 1:dsDNA:Penaeus:GCF_004788555.1
gerridae_sp	gerridae sp.	Sanxia water strider virus 6 :Sanxia water strider virus 6:ssRNA(+):Gerridae sp.:GCF_001443965.1
gerygone_albofrontata	gerygone albofrontata	Gerygone associated gemycircularvirus 1 :Gemycircularvirus geras1:ssDNA:Gerygone albofrontata:GCF_000928755.1
gerygone_albofrontata	gerygone albofrontata	Gerygone associated gemycircularvirus 2 :Gemycircularvirus geras2:ssDNA:Gerygone albofrontata:GCF_000929795.1
gerygone_albofrontata	gerygone albofrontata	Gerygone associated gemycircularvirus 3 :Gemycircularvirus geras3:ssDNA:Gerygone albofrontata:GCF_000927875.1
giardia_	giardia	Giardia-associated CRESS DNA virus 1 :Herugrimvirus gladden:ssDNA:Giardia:GCF_023148445.1
giardia_	giardia	Giardia-associated CRESS DNA virus 2 :Giardia-associated CRESS DNA virus 2:ssDNA:Giardia:GCF_023148495.1
giardia_	giardia	Giardia-associated CRESS DNA virus 2 :Giardia-associated CRESS DNA virus 2:ssDNA:Giardia:GCF_023148505.1
giardia_	giardia	Giardia-associated CRESS DNA virus 4 :Andurilvirus finwe:ssDNA:Giardia:GCF_023148535.1
giardia_intestinalis	giardia intestinalis	Giardia lamblia virus :Giardia lamblia virus:dsRNA:Giardia intestinalis:GCF_000854825.1
gigantochloa_levis	gigantochloa levis	Bamboo mosaic virus :Bamboo mosaic virus:ssRNA(+)::GCF_000847825.1
gigantochloa_levis	gigantochloa levis	Bamboo mosaic virus satellite RNA :Bamboo mosaic virus satellite RNA:RNA::GCF_000850485.1
gigaspora_margarita	gigaspora margarita	Gigaspora margarita mitovirus 1 :Duamitovirus gima1:ssRNA(+):Gigaspora margarita:GCF_004132465.1
gigaspora_margarita	gigaspora margarita	Gigaspora margarita mitovirus 2 :Duamitovirus gima2:ssRNA(+):Gigaspora margarita:GCF_004132485.1
gigaspora_margarita	gigaspora margarita	Gigaspora margarita mitovirus 3 :Duamitovirus gima3:ssRNA(+):Gigaspora margarita:GCF_004132505.1
gigaspora_margarita	gigaspora margarita	Gigaspora margarita mitovirus 4 :Duamitovirus gima4:ssRNA(+):Gigaspora margarita:GCF_004132525.1
giraffa_camelopardalis	giraffa camelopardalis	Deltapapillomavirus 4 :Deltapapillomavirus 4:dsDNA::GCF_000863985.1
giraffa_camelopardalis	giraffa camelopardalis	Giraffa camelopardalis papillomavirus 1 :Deltapapillomavirus 7:dsDNA:Giraffa camelopardalis:GCF_003033125.1
giraffa_camelopardalis	giraffa camelopardalis	Pestivirus giraffe-1 H138 :Pestivirus giraffae:ssRNA(+):Giraffa camelopardalis:GCF_000852085.1
giraffa_camelopardalis	giraffa camelopardalis	Pestivirus sp. :Pestivirus sp.:ssRNA(+):Ovis aries:GCF_029884895.1
giraffa_camelopardalis	giraffa camelopardalis	Rotavirus A :Rotavirus A:dsRNA::GCF_000880735.1
giraffa_camelopardalis	giraffa camelopardalis	Sindbis virus :Sindbis virus:ssRNA(+)::GCF_000860545.1
giraffa_giraffa	giraffa giraffa	West Nile virus :Orthoflavivirus nilense:ssRNA(+)::GCF_000861085.1
giraffa_giraffa	giraffa giraffa	West Nile virus :Orthoflavivirus nilense:ssRNA(+)::GCF_000875385.1
giraffa_reticulata	giraffa reticulata	Equid alphaherpesvirus 9 :Varicellovirus equidalpha9:dsDNA:Equus:GCF_000883455.1
girardia_tigrina	girardia tigrina	Planaria asexual strain-specific virus-like element type 1 :Planaria asexual strain-specific virus-like element type 1:unknown:Girardia tigrina:GCF_000838185.1
gladiolus_dalenii	gladiolus dalenii	Bean yellow mosaic virus :Bean yellow mosaic virus:ssRNA(+)::GCF_000863145.1
gladiolus_dalenii	gladiolus dalenii	Cucumber mosaic virus :Cucumber mosaic virus:ssRNA(+)::GCF_000864745.1
gladiolus_	gladiolus	Artichoke Italian latent virus :Nepovirus italiaense:ssRNA(+)::GCF_005410585.1
gladiolus_	gladiolus	Bean yellow mosaic virus :Bean yellow mosaic virus:ssRNA(+)::GCF_000863145.1
gladiolus_	gladiolus	Cucumber mosaic virus :Cucumber mosaic virus:ssRNA(+)::GCF_000864745.1
gladiolus_	gladiolus	Cycas necrotic stunt virus :Nepovirus cycas:ssRNA(+)::GCF_000860925.1
gladiolus_	gladiolus	Lily mottle virus :Lily mottle virus:ssRNA(+):Lilium:GCF_000866425.1
gladiolus_	gladiolus	Ornithogalum mosaic virus :Ornithogalum mosaic virus:ssRNA(+)::GCF_000901615.1
gladiolus_	gladiolus	Ornithogalum mosaic virus :Ornithogalum mosaic virus:ssRNA(+):Gladiolus:GCF_029883545.1
gladiolus_	gladiolus	Tobacco rattle virus :Tobacco rattle virus:ssRNA(+)::GCF_000851445.1
gladiolus_	gladiolus	Tomato aspermy virus :Tomato aspermy virus:ssRNA(+)::GCF_000853065.1
gladiolus_hybrid	gladiolus hybrid cultivar	Bean yellow mosaic virus :Bean yellow mosaic virus:ssRNA(+)::GCF_000863145.1
glandularia_x	glandularia x hybrida	Orthotospovirus tomatomaculae :Orthotospovirus tomatomaculae:ssRNA(+/-)::GCF_000854725.1
glauconycteris_	glauconycteris	Bat hepacivirus :Bat hepacivirus:ssRNA(+):Otomops martiensseni:GCF_001882015.3
glebionis_coronaria	glebionis coronaria	Bidens mottle virus :Bidens mottle virus:ssRNA(+):Helianthus annuus:GCF_000889115.1
glebionis_coronaria	glebionis coronaria	Tomato yellow leaf curl virus :Tomato yellow leaf curl virus:ssDNA(+/-):Capsicum annuum:GCF_000858205.1
glebionis_coronaria	glebionis coronaria	Turnip mosaic virus :Turnip mosaic virus:ssRNA(+)::GCF_000863465.1
glebionis_segetum	glebionis segetum	Tomato yellow leaf curl virus :Tomato yellow leaf curl virus:ssDNA(+/-):Capsicum annuum:GCF_000858205.1
glehnia_littoralis	glehnia littoralis	Glehnia littoralis virus 1 :Glehnia littoralis virus 1:ssRNA(-):Glehnia littoralis:GCF_029882825.1
gliridae_	gliridae	Encephalomyocarditis virus :Cardiovirus A:ssRNA(+)::GCF_000862985.1
gliridae_	gliridae	Lyssavirus rabies :Lyssavirus rabies:ssRNA(-)::GCF_000859625.1
gliridae_	gliridae	Monkeypox virus :Monkeypox virus:dsDNA:Homo sapiens:GCF_014621545.1
glis_glis	glis glis	Encephalomyocarditis virus :Cardiovirus A:ssRNA(+)::GCF_000862985.1
glis_glis	glis glis	Glis glis polyomavirus 1 :Betapolyomavirus gliris:dsDNA:Glis glis:GCF_004132885.1
glis_glis	glis glis	Orthohantavirus dobravaense :Orthohantavirus dobravaense:ssRNA(-):Apodemus flavicollis:GCF_000863045.1
globicephala_macrorhynchus	globicephala macrorhynchus	Beaked whale circovirus :Circovirus whale:ssDNA(+/-):Indopacetus pacificus:GCF_018587605.1
globisporangium_nunn	globisporangium nunn	Pythium nunn virus 1 :Pythium nunn virus 1:dsRNA:Globisporangium nunn:GCF_004117215.1
globisporangium_polare	globisporangium polare	Pythium polare bunya-like RNA virus 1 :Pythium polare bunya-like RNA virus 1:unknown:Globisporangium polare:GCF_003729235.1
globisporangium_polare	globisporangium polare	Pythium polare RNA virus 1 :Pythium polare RNA virus 1:dsRNA:Globisporangium polare:GCF_004130755.1
globisporangium_polare	globisporangium polare	Pythium polare RNA virus 2 :Pythium polare RNA virus 2:dsRNA:Globisporangium polare:GCF_004130775.1
gloriosa_	gloriosa	Cowpea aphid-borne mosaic virus :Cowpea aphid-borne mosaic virus:ssRNA(+)::GCF_000861665.1
gloriosa_	gloriosa	Gloriosa stripe mosaic virus :Gloriosa stripe mosaic virus:ssRNA(+):Sandersonia aurantiaca:GCF_002828505.1
gloriosa_superba	gloriosa superba	Cucumber mosaic virus :Cucumber mosaic virus:ssRNA(+)::GCF_000864745.1
gloriosa_superba	gloriosa superba	Gloriosa stripe mosaic virus :Gloriosa stripe mosaic virus:ssRNA(+):Sandersonia aurantiaca:GCF_002828505.1
gloriosa_superba	gloriosa superba	Tobacco streak virus :Tobacco streak virus:ssRNA(+)::GCF_000865505.1
glossina_pallidipes	glossina pallidipes	Glossina pallidipes salivary gland hypertrophy virus :Glossinavirus glopallidipedis:dsDNA:Glossina pallidipes:GCF_000879155.1
glossophaga_mutica	glossophaga mutica	Chikungunya virus :Chikungunya virus:ssRNA(+)::GCF_000854045.1
glossophaga_mutica	glossophaga mutica	dengue virus type 1 :Orthoflavivirus denguei:ssRNA(+)::GCF_000862125.1
glossophaga_mutica	glossophaga mutica	dengue virus type 3 :Orthoflavivirus denguei:ssRNA(+)::GCF_000866625.1
glossophaga_mutica	glossophaga mutica	Zika virus :Orthoflavivirus zikaense:ssRNA(+):Homo sapiens:GCF_002366285.1
glossophaga_mutica	glossophaga mutica	Zika virus :Orthoflavivirus zikaense:ssRNA(+):Simiiformes:GCF_000882815.3
glossophaga_soricina	glossophaga soricina	Bat coronavirus :Bat coronavirus:ssRNA(+):Eidolon helvum:GCF_012271725.1
glossophaga_soricina	glossophaga soricina	Bat coronavirus :Bat coronavirus:ssRNA(+):Pipistrellus:GCF_002118885.1
glossophaga_soricina	glossophaga soricina	Human mastadenovirus C :Human mastadenovirus C:dsDNA:Homo sapiens:GCF_000845085.1
glossophaga_soricina	glossophaga soricina	Human mastadenovirus E :Human mastadenovirus E:dsDNA::GCF_000859665.1
glossophaga_soricina	glossophaga soricina	Lyssavirus rabies :Lyssavirus rabies:ssRNA(-)::GCF_000859625.1
glossophaga_soricina	glossophaga soricina	Rotavirus A :Rotavirus A:dsRNA::GCF_000880735.1
glossophaga_soricina	glossophaga soricina	Venezuelan equine encephalitis virus :Venezuelan equine encephalitis virus:ssRNA(+)::GCF_000862105.1
glossophaga_soricina	glossophaga soricina	Venezuelan equine encephalitis virus :Venezuelan equine encephalitis virus:ssRNA(+)::GCF_002889695.1
glossopsitta_concinna	glossopsitta concinna	Beak and feather disease virus :Circovirus parrot:ssDNA(+/-)::GCF_000843965.1
gloxinia_	gloxinia	Impatiens necrotic spot virus :Orthotospovirus impatiensnecromaculae:ssRNA(+/-)::GCF_000852025.1
gloxinia_	gloxinia	Orthotospovirus tomatomaculae :Orthotospovirus tomatomaculae:ssRNA(+/-)::GCF_000854725.1
gloydius_angusticeps	gloydius angusticeps	Circovirus sp. :Circovirus sp.:ssDNA(+/-):Myotis davidii:GCF_002375075.1
glyceria_elata	glyceria elata	Barley yellow dwarf virus PAV :Luteovirus pavhordei:ssRNA(+)::GCF_000859045.1
glyceria_striata	glyceria striata	Barley yellow dwarf virus PAV :Luteovirus pavhordei:ssRNA(+)::GCF_000859045.1
glycine_max	glycine max	Ageratum enation virus :Ageratum enation virus:ssDNA(+/-):Ageratum conyzoides:GCF_000859025.1
glycine_max	glycine max	Ageratum yellow vein India alphasatellite :Ageratum yellow vein India alphasatellite:ssDNA:Parthenium hysterophorus:GCF_000903535.1
glycine_max	glycine max	Alfalfa mosaic virus :Alfalfa mosaic virus:ssRNA(+)::GCF_000847525.1
glycine_max	glycine max	Bean common mosaic necrosis virus :Bean common mosaic necrosis virus:ssRNA(+):Phaseolus vulgaris:GCF_000861385.1
glycine_max	glycine max	Bean common mosaic virus :Bean common mosaic virus:ssRNA(+):Vigna unguiculata:GCF_000857245.1
glycine_max	glycine max	Bean golden mosaic virus :Bean golden mosaic virus:ssDNA(+/-)::GCF_000841845.1
glycine_max	glycine max	Bean pod mottle virus :Comovirus siliquae:ssRNA(+)::GCF_000862925.1
glycine_max	glycine max	Bean rugose mosaic virus :Comovirus rugomusivum:ssRNA(+):Glycine max:GCF_001430295.1
glycine_max	glycine max	Bean yellow mosaic virus :Bean yellow mosaic virus:ssRNA(+)::GCF_000863145.1
glycine_max	glycine max	Broad bean wilt virus 2 :Fabavirus betaviciae:ssRNA(+)::GCF_000861605.1
glycine_max	glycine max	Brome mosaic virus :Brome mosaic virus:ssRNA(+)::GCF_000854965.1
glycine_max	glycine max	Cabbage leaf curl virus :Cabbage leaf curl virus:ssDNA(+/-)::GCF_000838405.1
glycine_max	glycine max	Chili leaf curl betasatellite :Chili leaf curl betasatellite:ssDNA:Capsicum annuum:GCF_000843905.1
glycine_max	glycine max	Chino del tomate virus :Chino del tomate virus:ssDNA(+/-)::GCF_000838385.1
glycine_max	glycine max	Clover yellow vein virus :Clover yellow vein virus:ssRNA(+)::GCF_000861485.1
glycine_max	glycine max	Cotton leaf curl Kokhran virus :Cotton leaf curl Kokhran virus:ssDNA(+/-)::GCF_000840425.1
glycine_max	glycine max	Cotton leaf curl Multan alphasatellite :Cotton leaf curl Multan alphasatellite:ssDNA::GCF_000897295.1
glycine_max	glycine max	Cotton leaf curl Multan betasatellite :Cotton leaf curl Multan betasatellite:ssDNA:Gossypium hirsutum:GCF_002987865.1
glycine_max	glycine max	Cotton leaf curl Multan betasatellite :Cotton leaf curl Multan betasatellite:ssDNA:Hibiscus rosa-sinensis:GCF_000866685.1
glycine_max	glycine max	Cotton leaf curl Multan betasatellite :Cotton leaf curl Multan betasatellite:ssDNA:Solanum lycopersicum:GCF_018580225.1
glycine_max	glycine max	Cowpea mosaic virus :Comovirus vignae:ssRNA(+)::GCF_000860385.1
glycine_max	glycine max	Cowpea mottle virus :Gammacarmovirus vignae:ssRNA(+):Vigna unguiculata:GCF_000851965.1
glycine_max	glycine max	Cucumber green mottle mosaic virus :Cucumber green mottle mosaic virus:ssRNA(+)::GCF_000849225.1
glycine_max	glycine max	Cucumber mosaic virus :Cucumber mosaic virus:ssRNA(+)::GCF_000864745.1
glycine_max	glycine max	Euphorbia mosaic virus :Euphorbia mosaic virus:ssDNA(+/-):Euphorbia heterophylla:GCF_000869345.1
glycine_max	glycine max	Gossypium darwinii symptomless alphasatellite :Gossypium darwinii symptomless alphasatellite:ssDNA:Gossypium davidsonii:GCF_003028915.1
glycine_max	glycine max	Groundnut ringspot and Tomato chlorotic spot virus reassortant :Groundnut ringspot and Tomato chlorotic spot virus reassortant:ssRNA(+/-):Solanum lycopersicum:GCF_000892015.1
glycine_max	glycine max	Groundnut ringspot virus :Orthotospovirus arachianuli:ssRNA(+/-):Arachis hypogaea:GCF_003972785.1
glycine_max	glycine max	Guar leaf curl alphasatellite :Guar leaf curl alphasatellite:ssDNA:Triticum aestivum:GCF_000905935.1
glycine_max	glycine max	Hibiscus chlorotic ringspot virus :Betacarmovirus hibisci:ssRNA(+)::GCF_000859105.1
glycine_max	glycine max	Horsegram yellow mosaic virus :Horsegram yellow mosaic virus:ssDNA(+/-):Macrotyloma uniflorum:GCF_000840965.1
glycine_max	glycine max	Kudzu mosaic virus :Kudzu mosaic virus:ssDNA(+/-):Pueraria montana:GCF_000870965.1
glycine_max	glycine max	Mungbean yellow mosaic India virus :Mungbean yellow mosaic India virus:ssDNA(+/-)::GCF_000858565.1
glycine_max	glycine max	Mungbean yellow mosaic virus :Mungbean yellow mosaic virus:ssDNA(+/-)::GCF_000845225.1
glycine_max	glycine max	Nanovirus-like particle :Nanovirus-like particle:ssDNA::GCF_003033975.1
glycine_max	glycine max	Nanovirus-like particle :Nanovirus-like particle:ssDNA:Gossypium hirsutum:GCF_003033995.1
glycine_max	glycine max	Okra mottle virus :Okra mottle virus:ssDNA(+/-):Abelmoschus esculentus:GCF_000875625.1
glycine_max	glycine max	Orthotospovirus tomatomaculae :Orthotospovirus tomatomaculae:ssRNA(+/-)::GCF_000854725.1
glycine_max	glycine max	Papaya leaf curl betasatellite :Papaya leaf curl betasatellite:ssDNA:Carica papaya:GCF_018589475.1
glycine_max	glycine max	Papaya leaf curl betasatellite :Papaya leaf curl betasatellite:ssDNA:Cyamopsis tetragonoloba:GCF_018580475.1
glycine_max	glycine max	Papaya leaf curl betasatellite :Papaya leaf curl betasatellite:ssDNA::GCF_000844765.1
glycine_max	glycine max	Peanut bud necrosis virus :Orthotospovirus arachinecrosis:ssRNA(+/-)::GCF_000851245.1
glycine_max	glycine max	Peanut mottle virus :Peanut mottle virus:ssRNA(+)::GCF_000860725.1
glycine_max	glycine max	Peanut stunt virus :Peanut stunt virus:ssRNA(+):Vigna unguiculata:GCF_000863785.1
glycine_max	glycine max	Pedilanthus leaf curl virus :Pedilanthus leaf curl virus:ssDNA(+/-)::GCF_000881095.1
glycine_max	glycine max	Pedilanthus leaf curl virus :Pedilanthus leaf curl virus:ssDNA(+/-):Solanum lycopersicum:GCF_000868385.1
glycine_max	glycine max	Pepper golden mosaic virus :Pepper golden mosaic virus:ssDNA(+/-)::GCF_000842765.1
glycine_max	glycine max	Pepper huasteco yellow vein virus :Pepper huasteco yellow vein virus:ssDNA(+/-)::GCF_000839505.1
glycine_max	glycine max	Pepper leaf curl Bangladesh virus :Pepper leaf curl Bangladesh virus:ssDNA(+/-)::GCF_000842805.1
glycine_max	glycine max	Pepper leaf curl virus :Pepper leaf curl virus:ssDNA(+/-)::GCF_000838585.1
