"","sample_id","lipo","cell_seeded","time","variable","E590","time_str","sample_id_modified","vector","condition","E590_Ctrl","E590_over_Ctrl"
"58","S4",TRUE,TRUE,48,"E590_zeroed_5",343596.2,"48 h","XS4","XS4 (0.861)","X4",616214,0.557592329937327
"59","S5",TRUE,TRUE,48,"E590_zeroed_5",335937.2,"48 h","XS5","XS5 (1.000)","X5",616214,0.545163206288724
"60","Mock",TRUE,TRUE,48,"E590_zeroed_5",622592.2,"48 h","Mock","Mock","Ctrl",616214,1.01035062494523
"61","S1",TRUE,TRUE,72,"E590_zeroed_1",469900,"72 h","XS1","XS1 (0.588)","X1",604199.2,0.777723638164367
"62","S2",TRUE,TRUE,72,"E590_zeroed_1",447882,"72 h","XS2","XS2 (0.705)","X2",604199.2,0.741282014276087
"63","S3",TRUE,TRUE,72,"E590_zeroed_1",395146,"72 h","XS3","XS3 (0.774)","X3",604199.2,0.653999541872945
"64","S4",TRUE,TRUE,72,"E590_zeroed_1",421457,"72 h","XS4","XS4 (0.861)","X4",604199.2,0.697546438326962
"65","S5",TRUE,TRUE,72,"E590_zeroed_1",333724,"72 h","XS5","XS5 (1.000)","X5",604199.2,0.55234101600929
"66","Mock",TRUE,TRUE,72,"E590_zeroed_1",576138,"72 h","Mock","Mock","Ctrl",604199.2,0.953556376771105
"67","S1",TRUE,TRUE,72,"E590_zeroed_2",482860,"72 h","XS1","XS1 (0.588)","X1",604199.2,0.7991735176081
"68","S2",TRUE,TRUE,72,"E590_zeroed_2",449151,"72 h","XS2","XS2 (0.705)","X2",604199.2,0.743382314971619
"69","S3",TRUE,TRUE,72,"E590_zeroed_2",421712,"72 h","XS3","XS3 (0.774)","X3",604199.2,0.697968484566017
"70","S4",TRUE,TRUE,72,"E590_zeroed_2",412783,"72 h","XS4","XS4 (0.861)","X4",604199.2,0.683190245865933
"71","S5",TRUE,TRUE,72,"E590_zeroed_2",335501,"72 h","XS5","XS5 (1.000)","X5",604199.2,0.555282099016351
"72","Mock",TRUE,TRUE,72,"E590_zeroed_2",587143,"72 h","Mock","Mock","Ctrl",604199.2,0.971770568382083
"73","S1",TRUE,TRUE,72,"E590_zeroed_3",482812,"72 h","XS1","XS1 (0.588)","X1",604199.2,0.79909407361016
"74","S2",TRUE,TRUE,72,"E590_zeroed_3",440473,"72 h","XS2","XS2 (0.705)","X2",604199.2,0.729019502177428
"75","S3",TRUE,TRUE,72,"E590_zeroed_3",395559,"72 h","XS3","XS3 (0.774)","X3",604199.2,0.654683091271885
"76","S4",TRUE,TRUE,72,"E590_zeroed_3",412490,"72 h","XS4","XS4 (0.861)","X4",604199.2,0.682705306461842
"77","S5",TRUE,TRUE,72,"E590_zeroed_3",367550,"72 h","XS5","XS5 (1.000)","X5",604199.2,0.608325863390749
"78","Mock",TRUE,TRUE,72,"E590_zeroed_3",595848,"72 h","Mock","Mock","Ctrl",604199.2,0.986178068425115
"79","S1",TRUE,TRUE,72,"E590_zeroed_4",467502,"72 h","XS1","XS1 (0.588)","X1",604199.2,0.77375474843396
"80","S2",TRUE,TRUE,72,"E590_zeroed_4",443208,"72 h","XS2","XS2 (0.705)","X2",604199.2,0.733546154976703
"81","S3",TRUE,TRUE,72,"E590_zeroed_4",410271,"72 h","XS3","XS3 (0.774)","X3",604199.2,0.679032676640419
"82","S4",TRUE,TRUE,72,"E590_zeroed_4",418352,"72 h","XS4","XS4 (0.861)","X4",604199.2,0.692407404710235
"83","S5",TRUE,TRUE,72,"E590_zeroed_4",377997,"72 h","XS5","XS5 (1.000)","X5",604199.2,0.625616518525678
"84","Mock",TRUE,TRUE,72,"E590_zeroed_4",630197,"72 h","Mock","Mock","Ctrl",604199.2,1.04302852436746
